Name,Type,Capacity,Speed,URL
USB Flash Drive SmartBuy NY series Santa-S 16GB,USB 2.0,16 Гб,,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_NY_series_Santa_S_16GB-3678903.html
USB Flash Drive ADATA UV240 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_UV240_32GB-3678927.html
USB Flash Drive ADATA UV240 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/adata/ADATA_UV240_64GB-3678933.html
USB Flash Drive Apacer AH336 32GB,USB 2.0,32 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH336_32GB-3679005.html
USB Flash Drive Apacer AH336 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH336_64GB-3679007.html
USB Flash Drive Mirex CITY 32GB,USB 2.0,32 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_CITY_32GB-3679155.html
USB Flash Drive Mirex LINE 32GB,USB 2.0,32 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_LINE_32GB-3679161.html
USB Flash Drive Mirex LINE 64GB,USB 2.0,64 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_LINE_64GB-3679163.html
USB Flash Drive Mirex LINE 4GB,USB 2.0,4 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_LINE_4GB-3679167.html
USB Flash Drive Mirex LINE 8GB,USB 2.0,8 Гб,18 Мб/с,https://komp.1k.by/storage-usbflashdrives/mirex/Mirex_LINE_8GB-3679169.html
USB Flash Drive SmartBuy NY series Snow 16GB,USB 2.0,16 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_NY_series_Snow_16GB-3679223.html
USB Flash Drive Perfeo S05 64GB,USB 3.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/perfeo/Perfeo_S05_64GB-3679263.html
USB Flash Drive Apacer AH335 64GB,USB 2.0,64 Гб,,https://komp.1k.by/storage-usbflashdrives/apacer/Apacer_AH335_64GB-3679343.html
USB Flash Drive SmartBuy Wild Series Heart 32GB,USB 2.0,32 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Wild_Series_Heart_32GB-3679535.html
USB Flash Drive SmartBuy Wild Series Heart 8GB,USB 2.0,8 Гб,15 Мб/с,https://komp.1k.by/storage-usbflashdrives/smartbuy/SmartBuy_Wild_Series_Heart_8GB-3679537.html
